iso3,country_display,year,wealth_pc,human_capital_pc,natural_capital_pc,produced_capital_pc,net_foreign_assets_pc,region,income_group,gini_index,population_total,gdp_per_capita_current_usd,education_expenditure_pct_gdp,lower_secondary_completion_rate,tertiary_enrolment_rate,school_life_expectancy,log_wealth_pc,human_capital_share,natural_capital_share,produced_capital_share
KGZ,Kyrgyz Republic,2016,7691.98123627637,3438.31046962861,3290.32993739311,2098.96053482253,-1135.619705567894,Europe & Central Asia,Lower middle income,26.8,6175338,1103.27489428412,6.58615016937256,90.2758,45.11104,13.03037,8.947933667324047,0.4469993313833239,0.4277610457336391,0.2728764502081158
KGZ,Kyrgyz Republic,2017,8945.56880299004,3562.25888139735,4527.193192953649,2045.9783013537,-1189.861572714663,Europe & Central Asia,Lower middle income,27.3,6306696,1221.39046807082,6.02618980407715,91.72583,42.81687,12.97451,9.09891358285238,0.3982149106277816,0.5060822059118748,0.2287141652378589
KGZ,Kyrgyz Republic,2018,8426.36382683224,3623.14350180309,3865.727514303591,2144.55297394439,-1207.0601632188311,Europe & Central Asia,Lower middle income,27.7,6444079,1283.5203037417,5.55267000198364,95.10779,41.26702,12.96756,9.039120620675398,0.4299771023731306,0.4587657967003368,0.2545051481299024
KOR,"Korea, Rep.",2016,240992.514964871,162382.352992839,2890.0031716559097,70324.9644770275,5395.194323348802,East Asia & Pacific,High income,35.2,51217803,30832.0628072516,4.33309984207153,103.27873,94.03362,16.50547,12.392521153753425,0.6738066243115857,0.0119920868582876,0.2918138950800137
KOR,"Korea, Rep.",2017,255680.852648414,172252.940866879,2977.245206266014,75449.1976852189,5001.4688900496985,East Asia & Pacific,High income,34.9,51361911,33296.9845439195,4.32823991775513,95.7709,94.34969,16.48165,12.451685276380887,0.6737029350560855,0.0116443807795025,0.2950913097468776
KOR,"Korea, Rep.",2018,274559.636552804,180829.2398596,3154.458411640044,82215.4552905396,8360.482991024299,East Asia & Pacific,High income,33.7,51585058,35363.9508228687,4.45807981491089,100.07317,95.86415,16.49396,12.5229237715367,0.6586155275042495,0.0114891556939884,0.299444799398719
LAO,Lao PDR,1997,4889.75446536727,1029.64066814488,4221.035440866751,140.579364599829,-501.5010082441871,East Asia & Pacific,Lower middle income,34.9,5152011,339.09319241187,2.13019990921021,26.85781,2.58381,7.67379,8.494897369626939,0.2105710369380568,0.8632407763545461,0.0287497798908948
LAO,Lao PDR,2002,4365.11506296586,1154.59156525324,3588.70203927792,222.952262178687,-601.1308037439919,East Asia & Pacific,Lower middle income,32.6,5610889,313.350817148131,2.82522010803223,40.52741,4.16538,8.27468,8.381399828285005,0.2645042681804492,0.8221322891863453,0.0510759187243973
LAO,Lao PDR,2007,9394.75928746257,2333.4618085677,7477.236775247869,342.169655490199,-758.108951843202,East Asia & Pacific,Lower middle income,35.4,6056236,697.323013673925,3.07841992378235,43.17178,11.49605,9.26571,9.14790729017421,0.2483790948940794,0.7958944499223456,0.0364213328963977
LAO,Lao PDR,2012,19549.0319592535,5432.69177760191,14721.232301425847,872.18438722718,-1477.07650700136,East Asia & Pacific,Lower middle income,36.0,6518978,1563.5650771337,1.82147002220154,46.77799,17.66788,10.51442,9.88068104803683,0.2779008080259623,0.7530414975078895,0.0446152213084051
LAO,Lao PDR,2018,27224.9030440503,6587.76944119291,22173.36743558949,1637.44399385946,-3173.6778265915573,East Asia & Pacific,Lower middle income,38.8,7128045,2545.1075420815,2.33501229018316,67.10647,14.96676,10.6347,10.211887386511084,0.2419758641760376,0.8144516584581643,0.0601450808184716
LCA,St. Lucia,2015,77245.2202437805,54083.1930674435,2907.91506479601,25794.3887267907,-5540.276615249721,Latin America & Caribbean,Upper middle income,43.7,174905,10334.9860823918,3.88088011741638,,16.32605,13.89519,11.254740318978806,0.7001493800750485,0.0376452427168805,0.3339286061375114
LKA,Sri Lanka,2012,12504.8483285798,8803.17515817983,3335.169780272599,2100.42093849872,-1733.917548371337,South Asia,Lower middle income,38.7,21169458,3327.77613691283,1.45342004299164,92.32519,17.12876,13.74072,9.433871714376092,0.7039809621729035,0.2667101345523781,0.1679685257515849
LKA,Sri Lanka,2016,16911.3733617597,12366.3031246513,4037.0766827159982,2623.23066397779,-2115.2371095854287,South Asia,Lower middle income,39.3,21209000,4149.19190775593,3.22929000854492,94.75415,18.83811,13.82598,9.735741654547462,0.7312418016040144,0.2387196235549212,0.155116359142628
LSO,Lesotho,2002,4136.12543454284,2299.63153132582,1095.63955459316,831.966690140954,-91.11234151709,Sub-Saharan Africa,Lower middle income,51.2,1994679,388.92334985135,10.1004495620728,25.72469,2.15985,9.87454,8.327514743229083,0.5559868934632528,0.2648951469031692,0.2011463876778945
LSO,Lesotho,2017,9885.52658066781,6446.40087991339,2333.41769927951,1492.23404453087,-386.52604305596105,Sub-Saharan Africa,Lower middle income,44.9,2157110,1069.36673247542,8.1553201675415,47.3778,10.76225,12.13149,9.198827004865482,0.6521049564036383,0.2360438445274887,0.150951396706483
LTU,Lithuania,1996,30024.611631674,13358.9991206614,4277.3122402431945,12716.4865584132,-328.18628764389706,Europe & Central Asia,High income,32.3,3601613,2340.67545970008,4.81781005859375,89.73448,28.48907,12.40145,10.30977271203269,0.4449349515171923,0.1424602020740514,0.4235354220201849
LTU,Lithuania,1998,37038.2443930414,19739.1098573107,4126.220855986673,13879.5257145191,-706.6120347749999,Europe & Central Asia,High income,32.1,3549331,3180.64498555255,6.08957004547119,,38.67401,13.39539,10.51970629004074,0.5329385930889102,0.1114043314850498,0.3747349784518062
LTU,Lithuania,2001,34680.4056214888,19095.1585069818,3029.666557146574,13781.804461927,-1226.22390456659,Europe & Central Asia,High income,32.0,3470818,3532.52787363242,5.83644008636475,90.5331,57.34761,14.95749,10.45393012694744,0.5506036669637447,0.0873596056001525,0.39739455796294
LTU,Lithuania,2002,40203.6956554153,22331.3950517076,3337.3359696273374,16050.4739169377,-1515.5092828574102,Europe & Central Asia,High income,31.9,3443067,4148.13091485015,5.79093980789185,96.34963,63.07008,15.43988,10.6017142021084,0.5554562755401726,0.0830106763873537,0.3992288185271783
LTU,Lithuania,2004,62171.2027038059,36911.9056071685,4682.856793619985,23252.128583556,-2675.68828053863,Europe & Central Asia,High income,37.0,3377075,6734.57487061946,5.14797019958496,,74.90138,16.04578,11.037647192480897,0.5937138739783279,0.0753219592023964,0.3740015887151655
LTU,Lithuania,2005,72320.6637863426,43229.8673308205,5523.251772333844,26915.5977319511,-3348.0530487628703,Europe & Central Asia,High income,35.3,3322528,7857.03148786492,4.87698984146118,,79.72981,16.37878,11.188865173485532,0.5977526348283358,0.0763716963197575,0.3721702252549564
