year,region,median_log_wealth_pc,median_school_life_expectancy,median_tertiary_enrolment_rate,median_human_capital_share,median_natural_capital_share,median_produced_capital_share,n_countries
2011,Latin America & Caribbean,11.110631042069347,13.687204999999999,35.256595,0.716557535957906,0.1455359107490272,0.2228747910479612,12
2011,Middle East & North Africa,11.424305139110182,13.35656,35.17035,0.6306987946845583,0.3472109390048061,0.0966593744987538,13
2011,North America,13.306089240213726,15.693909999999999,78.68695,0.6177220481387788,0.0625246405328078,0.3403006680050525,2
2011,South Asia,9.229009781010365,12.39547,14.834965,0.5672273793636545,0.3630918893756168,0.0934048696334284,4
2011,Sub-Saharan Africa,9.537289713094049,9.54129,6.97881,0.4402066935423322,0.5210663205566586,0.06464636494122715,31
2012,East Asia & Pacific,10.544691130932485,13.0035,31.20648,0.5791514714352899,0.3419385856443181,0.0976667138638414,9
2012,Europe & Central Asia,11.80947738335561,15.6733,65.67117,0.6318478368068392,0.10538392310377301,0.31296813299143966,42
2012,Latin America & Caribbean,11.133375255726612,13.70121,34.644255,0.7001726938173325,0.1464505888623191,0.19014932837564696,14
2012,Middle East & North Africa,11.22511300853964,12.43441,41.82672,0.6150331349826862,0.3409811158137374,0.123763166862178,11
2012,North America,13.34056505585547,15.898235,78.57813,0.6238514320557099,0.0639285540624787,0.33362464606928,2
2012,South Asia,9.386691967636828,12.63279,17.12876,0.5656293519626752,0.3621841315654772,0.1059445992630175,3
2012,Sub-Saharan Africa,9.37571871719399,10.30861,8.24916,0.4462479793790247,0.48964505174609585,0.06528997697066045,31
2013,East Asia & Pacific,10.610848051213594,13.193745,36.29868,0.5735649339275353,0.260061676556655,0.103297187917394,10
2013,Europe & Central Asia,11.776211455203384,15.914380000000001,64.86009999999999,0.6409868380710889,0.0982014639199576,0.3169778742343903,41
2013,Latin America & Caribbean,11.223405257422357,14.28951,30.30004,0.6829083369298331,0.1400348232902995,0.1543394978101382,13
2013,Middle East & North Africa,11.694705540469018,13.73922,34.95699,0.5946790284041564,0.3589902181479246,0.1222992419404357,11
2013,North America,13.351293003613343,15.944130000000001,77.02936,0.6254900080438952,0.0572572503717122,0.33270873216648633,2
2013,South Asia,9.412208949208358,12.6646,18.89607,0.5557029920339762,0.3904012635953894,0.083431833288681,3
2013,Sub-Saharan Africa,9.6639279766123,11.154900000000001,8.75743,0.4721806923464391,0.47809123198624115,0.0660876401680968,25
2014,East Asia & Pacific,10.576676039910614,13.4519,40.96965,0.5832405089045158,0.26453694092625196,0.10732924294132434,10
2014,Europe & Central Asia,11.79546390371659,15.98247,65.703535,0.6369835574959476,0.0874838568695243,0.3158863591045092,41
2014,Latin America & Caribbean,11.210795587247803,13.8997,44.53679,0.7096722561456471,0.1328136868595137,0.1825646588853151,13
2014,Middle East & North Africa,11.805707340879785,14.24582,38.331725,0.571474686883811,0.35454379264217756,0.12236717888994125,12
2014,North America,13.350821317892324,15.977075,77.11989,0.6256626602692051,0.057692535923323254,0.33410574108597235,2
2014,South Asia,9.437049661589745,12.22864,15.99375,0.5884483929022885,0.3188730934707722,0.1143814916854902,5
2014,Sub-Saharan Africa,9.464747677334923,11.05138,10.09189,0.5432074009729925,0.42787494217459265,0.06293480430676425,24
2015,East Asia & Pacific,10.615720143546069,15.133505,45.81657,0.563458371395283,0.28831949997544853,0.14985043961797956,10
2015,Europe & Central Asia,11.700882337774235,15.99239,63.63378,0.6449131196871681,0.0835580559468949,0.3064198302439153,41
2015,Latin America & Caribbean,11.080190006676435,14.09283,44.89223,0.7187883955599087,0.1159105947230455,0.1692722351893606,15
2015,Middle East & North Africa,11.673962798309912,14.79253,37.93182,0.6219975694193691,0.2287790013702305,0.13911232847671265,12
2015,North America,13.280604329367089,16.041695,76.838185,0.6438840468312239,0.0266610056760676,0.33964169336827166,2
2015,South Asia,9.386379243645232,12.299235,19.75837,0.6131936103342621,0.3314360837564148,0.0924833239029837,3
2015,Sub-Saharan Africa,9.363548469589164,9.87895,9.22956,0.5335982649964616,0.422806819401672,0.0723739503024036,25
2016,East Asia & Pacific,11.083089242702885,15.870709999999999,49.28681,0.5719482159987315,0.1712617376780523,0.1504653640066884,11
2016,Europe & Central Asia,11.70232504082686,16.06362,64.72768,0.6652178166047247,0.07319481063050229,0.3070126456572039,42
2016,Latin America & Caribbean,11.048762915843346,14.41986,53.6387,0.7404788567957532,0.1133959989494794,0.1754454424222471,13
2016,Middle East & North Africa,11.570453475530421,14.93214,44.05449,0.6075036087032848,0.23240230046154303,0.1336561312753213,14
2016,North America,13.276416473696692,16.14207,77.637115,0.6386405506687669,0.02859259267001665,0.3444791185065802,2
2016,South Asia,9.354541291178988,12.6192,18.356234999999998,0.6405419688337077,0.2846106982570589,0.10051050576251941,4
2016,Sub-Saharan Africa,9.67882633136957,11.48011,10.12183,0.5137946895641446,0.4331354860113151,0.0648743282449984,21
2017,East Asia & Pacific,11.164221300175855,15.05976,49.07326,0.5750728398506767,0.2050085309104914,0.1266948226475468,11
2017,Europe & Central Asia,11.751533092921344,16.090485,66.73749000000001,0.6702334286854897,0.0834607402039129,0.3050380651639408,43
2017,Latin America & Caribbean,11.019731591763215,14.60951,56.089884999999995,0.7199972061616784,0.1168147673072086,0.17190982903368646,12
2017,Middle East & North Africa,11.57534663243249,14.26312,38.12801,0.6350743800542128,0.25073109092666424,0.1489629870628351,14
2017,North America,13.34718078297098,16.234135,78.54495,0.6251532857472675,0.0357453857705823,0.34294215622922475,2
2017,South Asia,9.58968083922072,12.459435,18.96117,0.6534740481823194,0.2531627914839877,0.109589168095965,5
2017,Sub-Saharan Africa,9.598684582437034,10.452065000000001,11.488859999999999,0.55306404377906,0.3888197276307813,0.0934013988306381,22
2018,East Asia & Pacific,11.351410905431923,16.506775,58.09994,0.5338173912072481,0.18889659157845465,0.13742515988698406,10
2018,Europe & Central Asia,11.907237971729518,16.04637,68.137165,0.6800427427651606,0.07202060817832276,0.3031418257139361,42
2018,Latin America & Caribbean,11.104837167779202,14.39857,35.447365,0.7395476881757839,0.11492999892270356,0.1626769231199608,8
2018,Middle East & North Africa,11.771537007939322,14.11615,44.259055000000004,0.5930755029545521,0.2027334448450312,0.14275025065925434,12
2018,North America,13.386641553073721,16.253999999999998,79.2061,0.6280929244107782,0.0393109096183587,0.34344888426956155,2
2018,South Asia,9.489906519775136,13.07338,20.097655,0.6594485603435882,0.2730847424539359,0.10460899138328054,4
2018,Sub-Saharan Africa,9.272048839675705,10.77537,8.754405,0.5783643924550672,0.3807399532986053,0.08320070360776591,14
